mpg,cylinders,displacement,horsepower
18.0,6,250.0,88.0
23.0,6,198.0,95.0
26.0,4,97.0,46.0
11.0,8,400.0,150.0
12.0,8,400.0,167.0
13.0,8,360.0,170.0
12.0,8,350.0,180.0
18.0,6,232.0,100.0
20.0,4,97.0,88.0
21.0,4,140.0,72.0
22.0,4,108.0,94.0
18.0,3,70.0,90.0
19.0,4,122.0,85.0
21.0,6,155.0,107.0
26.0,4,98.0,90.0
15.0,8,350.0,145.0
16.0,8,400.0,230.0
29.0,4,68.0,49.0
24.0,4,116.0,75.0
20.0,4,114.0,91.0
19.0,4,121.0,112.0
15.0,8,318.0,150.0
24.0,4,121.0,110.0
20.0,6,156.0,122.0
11.0,8,350.0,180.0
20.0,6,198.0,95.0
21.0,6,200.0,
19.0,6,232.0,100.0
15.0,6,250.0,100.0
31.0,4,79.0,67.0
26.0,4,122.0,80.0
32.0,4,71.0,65.0
25.0,4,140.0,75.0
16.0,6,250.0,100.0
16.0,6,258.0,110.0
18.0,6,225.0,105.0
16.0,8,302.0,140.0
13.0,8,350.0,150.0
14.0,8,318.0,150.0
14.0,8,302.0,140.0
14.0,8,304.0,150.0
29.0,4,98.0,83.0
26.0,4,79.0,67.0
26.0,4,97.0,78.0
31.0,4,76.0,52.0
32.0,4,83.0,61.0
28.0,4,90.0,75.0
24.0,4,90.0,75.0
26.0,4,116.0,75.0
24.0,4,120.0,97.0
26.0,4,108.0,93.0
31.0,4,79.0,67.0
19.0,6,225.0,95.0
18.0,6,250.0,105.0
15.0,6,250.0,72.0
15.0,6,250.0,72.0
16.0,8,400.0,170.0
15.0,8,350.0,145.0
16.0,8,318.0,150.0
14.0,8,351.0,148.0
17.0,6,231.0,110.0
16.0,6,250.0,105.0
15.0,6,258.0,110.0
18.0,6,225.0,95.0
21.0,6,231.0,110.0
20.0,8,262.0,110.0
13.0,8,302.0,129.0
29.0,4,97.0,75.0
23.0,4,140.0,83.0
20.0,6,232.0,100.0
23.0,4,140.0,78.0
24.0,4,134.0,96.0
25.0,4,90.0,71.0
24.0,4,119.0,97.0
18.0,6,171.0,97.0
29.0,4,90.0,70.0
19.0,6,232.0,90.0
23.0,4,115.0,95.0
23.0,4,120.0,88.0
22.0,4,121.0,98.0
25.0,4,121.0,115.0
33.0,4,91.0,53.0
28.0,4,107.0,86.0
25.0,4,116.0,81.0
25.0,4,140.0,92.0
26.0,4,98.0,79.0
27.0,4,101.0,83.0
17.5,8,305.0,140.0
16.0,8,318.0,150.0
15.5,8,304.0,120.0
14.5,8,351.0,152.0
22.0,6,225.0,100.0
22.0,6,250.0,105.0
24.0,6,200.0,81.0
22.5,6,232.0,90.0
29.0,4,85.0,52.0
24.5,4,98.0,60.0
29.0,4,90.0,70.0
33.0,4,91.0,53.0
20.0,6,225.0,100.0
18.0,6,250.0,78.0
